,,,No Mod,Shift,Ctrl
1,Esc,76,0x1b,,0x1b
1,F1,05,,,
1,F2,06,,,
1,F3,04,,,
1,F4,0C,,,
1,F5,03,,,
1,F6,0B,,,
1,F7,83,,,
1,F8,0A,,,
1,F9,01,,,
1,F10,09,,,
1,F11,78,,,
1,F12,07,,,
2,`,0E,`,~,
2,1,16,1,!,
2,2,1E,2,@,
2,3,26,3,#,
2,4,25,4,$,
2,5,2E,5,%,
2,6,36,6,^,
2,7,3D,7,&,
2,8,3E,8,*,
2,9,46,9,(,
2,0,45,0,),
2,-,4E,-,_,
2,=,55,=,+,
2,Backspace,66,0x8,,
3,Tab,0D,0x9,,
3,Q,15,q,Q,0x11
3,W,1D,w,W,0x17
3,E,24,e,E,0x05
3,R,2D,r,R,0x12
3,T,2C,t,T,0x14
3,Y,35,y,Y,0x19
3,U,3C,u,U,0x15
3,I,43,i,I,0x09
3,O,44,o,O,0x0f
3,P,4D,p,P,0x10
3,[,54,[,{,
3,],5B,],},
3,\,5D,\,|,
4,Caps Lock,58,,,
4,A,1C,a,A,0x01
4,S,1B,s,S,0x13
4,D,23,d,D,0x04
4,F,2B,f,F,0x06
4,G,34,g,G,0x07
4,H,33,h,H,0x08
4,J,3B,j,J,0x0a
4,K,42,k,K,0x0b
4,L,4B,l,L,0x0c
4,;,4C,;,:,
4,',52,',"""",
4,Enter,5A,0x0d,,
5,Shift (Left),12,,,
5,Z,1A,z,Z,0x1a
5,X,22,x,X,0x18
5,C,21,c,C,0x03
5,V,2A,v,V,0x16
5,B,32,b,B,0x02
5,N,31,n,N,0x0e
5,M,3A,m,M,0x0d
5,",",41,",",<,
5,.,49,.,>,
5,/,4A,/,?,
6,Shift (Right),59,,,
6,Ctrl (left),14,,,
6,Command (left),E01F,,,
6,Option/Alt (left),11,,,
6,Spacebar,29,0x20,,
6,Option/Alt (right),E011,,,
6,Command (right),E027,,,
6,Menu,E02F,,,
6,Ctrl (right),E014,,,
7,Insert,E070,,,
7,Home,E06C,,,
7,Page Up,E07D,,,
7,Delete,E071,,,
7,End,E069,,,
7,Page Down,E07D,,,
7,Up,E075,,,
7,Left,E06B,,,
7,Down,E072,,,
7,Right,E074,,,
8,Num Lock,77,,,
8,/,E04A,/,,
8,*,7C,*,,
8,-,7B,-,,
8,7,6C,7,,
8,8,75,8,,
8,9,7D,9,,
8,+,79,+,,
8,4,6B,4,,
8,5,73,5,,
8,6,74,6,,
8,1,69,1,,
8,2,72,2,,
8,3,7A,3,,
8,0,70,0,,
8,.,71,.,,
8,Enter,E05A,0x0d,,
8,Scroll Lock,7E,,,
End,,,,,